Resampled version already cached
Resampled version already cached
         2617967 function calls (2562120 primitive calls) in 2.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      471    0.001    0.000    0.074    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.072    0.072 _axes.py:1(<module>)
 1698/471    0.005    0.000    0.071    0.000 sre_parse.py:435(_parse_sub)
     6927    0.040    0.000    0.070    0.000 inspect.py:625(cleandoc)
       13    0.000    0.000    0.070    0.005 __init__.py:51(create_module)
       13    0.000    0.000    0.070    0.005 __init__.py:29(load_module)
 2412/566    0.026    0.000    0.069    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.069    0.069 widgets.py:1(<module>)
        1    0.000    0.000    0.067    0.067 patches.py:1(<module>)
        2    0.000    0.000    0.067    0.033 dist.py:1(<module>)
     6889    0.004    0.000    0.066    0.000 inspect.py:606(getdoc)
      379    0.023    0.000    0.065    0.000 doccer.py:13(docformat)
      126    0.001    0.000    0.063    0.000 _distn_infrastructure.py:785(_construct_doc)
      216    0.009    0.000    0.060    0.000 artist.py:1484(get_setters)
     1497    0.010    0.000    0.059    0.000 inspect.py:2124(_signature_from_function)
23400/21334    0.005    0.000    0.059    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.058    0.058 __init__.py:567(_build_master)
        1    0.000    0.000    0.058    0.058 __init__.py:553(__init__)
       10    0.000    0.000    0.058    0.006 cparser.py:307(_parse)
        3    0.000    0.000    0.057    0.019 waiter.py:13(<module>)
        4    0.000    0.000    0.057    0.014 __init__.py:13(<module>)
        2    0.000    0.000    0.056    0.028 config.py:1(<module>)
        2    0.000    0.000    0.056    0.028 service.py:13(<module>)
  252/183    0.000    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
  252/183    0.014    0.000    0.055    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.054    0.054 soundfile.py:1(<module>)
        1    0.000    0.000    0.054    0.054 _interpolate.py:1(<module>)
4552/4532    0.005    0.000    0.049    0.000 {built-in method builtins.sorted}
      471    0.001    0.000    0.048    0.000 sre_compile.py:598(_code)
      216    0.000    0.000    0.047    0.000 artist.py:1389(__init__)
       10    0.000    0.000    0.046    0.005 __init__.py:2030(_by_version_descending)
        4    0.000    0.000    0.046    0.012 decorators.py:1(<module>)
        1    0.000    0.000    0.046    0.046 setupcfg.py:1(<module>)
     1356    0.002    0.000    0.046    0.000 __init__.py:2151(distributions_from_metadata)
      216    0.007    0.000    0.046    0.000 artist.py:1409(get_aliases)
     9746    0.009    0.000    0.046    0.000 inspect.py:2489(__init__)
        1    0.000    0.000    0.045    0.045 collections.py:1(<module>)
        1    0.000    0.000    0.043    0.043 stencil.py:6(<module>)
        1    0.000    0.000    0.042    0.042 example.py:13(<module>)
        1    0.000    0.000    0.041    0.041 shape.py:19(<module>)
        4    0.000    0.000    0.041    0.010 utils.py:13(<module>)
     1728    0.007    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1029(get_data)
      335    0.000    0.000    0.041    0.000 __init__.py:3285(<genexpr>)
    10821    0.035    0.000    0.040    0.000 enum.py:313(__call__)
      334    0.001    0.000    0.040    0.000 __init__.py:2795(activate)
        1    0.000    0.000    0.040    0.040 api.py:101(cdef)
        1    0.000    0.000    0.040    0.040 api.py:119(_cdef)
        1    0.000    0.000    0.040    0.040 cparser.py:369(parse)
        1    0.000    0.000    0.040    0.040 cparser.py:393(_internal_parse)
       12    0.000    0.000    0.039    0.003 __init__.py:209(__getattr__)
    14781    0.039    0.000    0.039    0.000 {built-in method posix.stat}
      429    0.000    0.000    0.038    0.000 artist.py:1503(number_of_parameters)
 4135/471    0.012    0.000    0.038    0.000 sre_compile.py:71(_compile)
       10    0.000    0.000    0.037    0.004 c_parser.py:130(parse)
